id,pubmid
Ndegwa Joyce,31807107
Katuse Paul,31807107
Gitonga Lawrence Kirimi,31806044
Boru Waqo Gufu,31806044
Kwena Arthur,31806044
Maritim Marybeth,31806044
Wamicwe Joyce,31806044
Ransom James,31806044
Orwa James,31805887
Mantel Michaela,31805887
Temmerman Marleen,31805887
Obanda Vincent,31805127
Chiyo Patrick I,31805127
Kumar Rashmi,31805021
Canarie Michael F,31805021
Owiti P,31803579
Di Giorgio Laura,31803510
Chuma Jane,31803510
Mercer Tim,31802925
Chang Alice C,31802925
Kerubo Immaculate,31802925
Tran Dan N,31802925
Laktabai Jeremiah,31802925
Pastakia Sonak,31802925
Karanja Diana M S,31802733
Odiere Maurice R,31802733
Omondi Protus,31801562
Burugu Marion,31801562
Matoke-Muhia Damaris,31801562
Too Edwin,31801562
Nambati Eva A,31801562
Chege William,31801562
Musyoka Kelvin B,31801562
Thiongo Kelvin,31801562
Otinga Maureen,31801562
Muregi Francis,31801562
Kimani Francis,31801562
Apondi Edith,31800588
Ayaya Samuel O,31800588
Sang Edwin,31800588
Brown Tim,31800403
Puckett Robert,31800403
Glaubius Robert,31800403
Mutai Kennedy,31800403
Bao Le,31800403
Salomon Joshua A,31800403
Stover John,31800403
Githanga David Peter,31798942
Anzala Omu Aggrey,31798942
Low Jan W,31798205
McEwan Margaret,31798205
Khamis Fathiya M,31798006
Mireji Paul O,31798006
Ombura Fidelis L O,31798006
Awuoche Erick O,31798006
Rono Martin,31798006
Mohamed Samira A,31798006
Tanga Chrysantus M,31798006
Ekesi Sunday,31798006
Aol G,31795999
Desai M,31795999
Wambalaba Francis W,31795739
Son Barbara,31795739
Wambalaba Akosa E,31795739
Nyong'o Dorothy,31795739
Nyong'o Anyang',31795739
Young Peter W,31794520
Zielinski-Gutierrez Emily,31794520
Wamicwe Joyce,31794520
Mukui Irene,31794520
Waruru Anthony,31794520
Kretzschmar Mirjam E,31794520
De Cock Kevin M,31794520
Nyandiko Winstone M,31794518
Koech Myra M,31794518
Daud Ibrahim,31794518
Birgen Elcy,31794518
Opanga Sylvia,31794332
Jan Saira,31794332
Katani Robab,31792246
