pmid,allauthors,num_label
31774823,Lindahl Johanna,13877
31774234,Njuguna Festus,20684
31774234,Ribeiro Raul C,25531
31772772,Kimywe Judith,11828
31771486,Neugebauer Felix,19853
31771486,Tuma Jan,29095
31771486,Stieger Roland,27974
31771486,Serra Andreas,26849
31769388,Njenga Sammy M,20479
31769388,Kanyi Henry M,10527
31769388,Arnold Benjamin F,1353
31769388,Matendechero Sultani H,15551
31769388,Onsongo Joyce K,23174
31767540,Panpradist Nuttada,24278
31767540,Beck Ingrid A,2217
31767540,Vrana Justin,29507
31767540,Higa Nikki,8638
31767540,McIntyre David,16168
31767540,Ruth Parker S,26084
31767540,So Isaac,27610
31767540,Kline Enos C,12368
31767540,Kanthula Ruth,10500
31767540,Wong-On-Wing Annie,31100
31767540,Lim Jonathan,13847
31767540,Ko Daisy,12414
31767540,Milne Ross,16621
31767540,Chung Michael,4275
31767540,Lai James,13220
31767540,Klavins Eric D,12350
31767540,Frenkel Lisa M,6536
31767540,Lutz Barry R,14263
31767012,Brander Rebecca L,3019
31767012,Pavlinac Patricia B,24464
