30017069	NA	 J Pediatr Surg	 2018 Jun 27
30016955	PMC6050726	 BMC Evol Biol	 2018 Jul 17
30016943	PMC6050709	 BMC Med Inform Decis Mak	 2018 Jul 17
30016316	PMC6049880	 PLoS Med	 2018 Jul 17
30015793	NA	 J Acquir Immune Defic Syndr	 2018 Jul 10
30014818	NA	 Am J Trop Med Hyg	 2018 Jul 16
30013798	NA	 J Parasitol Res	 2018 Jun 14
30013682	NA	 Beilstein J Org Chem	 2018 Jun 26
30012273	PMC6057135	 Lancet Glob Health	 2018 Aug
30012270	NA	 Lancet Glob Health	 2018 Aug
30012172	PMC6048912	 Malar J	 2018 Jul 16
30012128	PMC6048766	 BMC Health Serv Res	 2018 Jul 16
30012110	PMC6048800	 BMC Infect Dis	 2018 Jul 16
30012092	PMC6048895	 BMC Infect Dis	 2018 Jul 16
30010860	PMC6097453	 Health Policy Plan	 2018 Sep 1
30009273	e00656	 Heliyon	 2018 Jun 20
30009182	NA	 J Diabetes Res	 2018 May 23
30006791	NA	 AIDS Behav	 2018 Jul 13
30006414	PMC6120623	 Genome Res	 2018 Jul 13
30006028	NA	 Acta Trop	 2018 Oct
30005662	PMC6044045	 BMC Med Educ	 2018 Jul 13
30005643	PMC6044026	 BMC Public Health	 2018 Jul 13
30005025	NA	 AIDS	 2018 Jul 12
30005020	NA	 AIDS	 2018 Jul 12
30004392	NA	 Pediatr Infect Dis J	 2018 Aug
30003850	NA	 Afr J AIDS Res	 2018 Jul
30002921	PMC6038841	 BMJ Glob Health	 2018 Jul 6
30002919	PMC6038838	 BMJ Glob Health	 2018 Jul 6
30002808	NA	 Malar Res Treat	 2018 May 29
30002721	PMC6038280	 Ann Gen Psychiatry	 2018 Jul 10
30002013	PMC6082480	 BMJ Open	 2018 Jul 12
30001340	PMC6057667	 PLoS Negl Trop Dis	 2018 Jul 12
30001244	PMC6086376	 AIDS	 2018 Jul
30001243	NA	 AIDS	 2018 Jul 31
30001195	PMC6044072	 BMC Pregnancy Childbirth	 2018 Jul 12
29998191	PMC6030754	 Glob Health Res Policy	 2018 Jul 4
29998027	NA	 Case Rep Obstet Gynecol	 2018 May 28
29997412	PMC6015607	 Symbiosis	 2018
29996854	PMC6042417	 Reprod Health	 2018 Jul 11
29996852	PMC6042229	 Hum Resour Health	 2018 Jul 11
29996838	PMC6042204	 Int J Equity Health	 2018 Jul 11
29996783	PMC6042413	 BMC Infect Dis	 2018 Jul 11
29996580	NA	 Int J Health Policy Manag	 2017 Nov 25
29995942	PMC6040779	 PLoS One	 2018 Jul 11
29995715	NA	 JBI Database System Rev Implement Rep	 2018 Jul
29995713	NA	 JBI Database System Rev Implement Rep	 2018 Jul
29994915	PMC6075888	 J Acquir Immune Defic Syndr	 2018 Aug 15
29994832	NA	 J Acquir Immune Defic Syndr	 2018 Aug 15
29992326	NA	 J Econ Entomol	 2018 Jul 10
29991925	PMC5987586	 Trop Med Health	 2018 Jun 4
29991924	PMC5987573	 Trop Med Health	 2018 Jun 4
29989160	NA	 Am J Phys Anthropol	 2018 Jul
29989082	PMC6035514	 BMJ Glob Health	 2018 Jun 22
29989036	PMC6035501	 BMJ Glob Health	 2018 Jun 27
29988829	PMC6031956	 Int J Parasitol Parasites Wildl	 2017 Aug 4
29988760	NA	 Zookeys	 2018 Jun 26
29988689	PMC6029585	 HIV AIDS (Auckl)	 2018 Jun 29
29988499	NA	 Front Microbiol	 2018 Jun 25
29988002	NA	 Am J Trop Med Hyg	 2018 Jul 9
29986753	PMC6036667	 Infect Dis Poverty	 2018 Jul 6
